gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
WDR54,-0.7010361140073386,5.537413272657437e-20,1138.745180412371,1851.226038554217,8.093116343221971e-18,True
FBXO31,-0.6806289914465347,5.729611832715567e-20,401.67347422680416,643.8176744578313,8.322959920169691e-18,True
LOC100190986,-0.6389571036403637,6.216808026437922e-20,2130.9738453608247,3318.359036144578,8.97594046144428e-18,True
CASP4,0.7555262843627418,6.435060855975591e-20,4671.402845360824,2767.0133012048195,9.235087636861838e-18,True
CABIN1,-0.6590364618379111,6.666717971048286e-20,673.7438381443299,1063.860169879518,9.510252827801395e-18,True
DYRK2,-0.6306411617532173,7.497695904625088e-20,3226.6573608247427,4995.6816626506015,1.0569089321649909e-17,True
MOAP1,-0.5277518463834132,7.475931518717221e-20,498.17392164948456,718.207813253012,1.0569089321649909e-17,True
TRPV2,-0.5075984165068116,8.79170445795864e-20,925.7900412371133,1316.178686746988,1.2320280900114628e-17,True
LOC100129424,-0.4987921340853617,9.025407712965535e-20,12684.318979381444,17923.323722891564,1.2573818008536722e-17,True
LOC728014,-0.7663106141539869,9.79476317789693e-20,487.09804226804124,828.5121180722891,1.3514462971796629e-17,True
CASP2,-0.41304895793154195,9.814054040720383e-20,3930.977030927835,5234.083325301205,1.3514462971796629e-17,True
UBQLN4,-0.45929962183748985,1.0029438049806265e-19,836.5081948453608,1150.0935373493974,1.3731684060950266e-17,True
TSR2,-0.38618330796795985,1.0144780937368517e-19,1273.2353525773196,1664.031136144578,1.3810235215481725e-17,True
TRAF5,-0.7741510898920989,1.0204042201177922e-19,485.93733608247425,831.0419897590363,1.381198280446941e-17,True
CYBASC3,-0.5631643191687562,1.0507619717852254e-19,865.5462350515464,1278.850048192771,1.4142543759231313e-17,True
FAM129C,-1.0511313096570596,1.0907898964426882e-19,216.44885298969072,448.5153824096385,1.4598813316266383e-17,True
CD40LG,-1.0257071072787245,1.1029431285918864e-19,193.0786462061856,393.099825566265,1.4679002319801403e-17,True
FAM53B,-0.5353282140377339,1.1622489246367495e-19,1625.6625453608247,2356.026927710843,1.538236451756738e-17,True
SMAD3,-0.5510864380391995,1.1688795883966947e-19,620.6628824742268,909.3882156626505,1.538465106871517e-17,True
LOC440348,-0.5849745084154138,1.2225928617751794e-19,1789.4767123711342,2684.2374096385543,1.6003203157181375e-17,True
PELP1,-0.6622984921679224,1.2417170319393606e-19,420.7541783505155,665.8864072289157,1.616471303382043e-17,True
HLA-DOB,-0.9734511721584351,1.2521914247913885e-19,385.0873670103092,756.1314004819276,1.6212476256959374e-17,True
PRMT1,-0.4751725745366669,1.3146923127298524e-19,1165.7923608247422,1620.5498807228914,1.6929683765493663e-17,True
FAM20A,2.3336880386492447,1.3285715866984672e-19,97.73833296804125,19.388973954216866,1.7016430596729883e-17,True
SLC26A8,1.7316445762713348,1.3782893180804396e-19,1073.6709711340206,323.2914744578314,1.7558816269855783e-17,True
PPP1R13B,-0.9178859860909417,1.5392642189194364e-19,159.0984225154639,300.5917715662651,1.940908867670918e-17,True
PNOC,-1.039425936178939,1.5398219199504828e-19,100.4842923814433,206.53638132530122,1.940908867670918e-17,True
ACD,-0.5854102761057802,1.559456769530286e-19,347.6048948453608,521.5691987951807,1.955312558974737e-17,True
RHOF,-0.6756042680789123,1.5722398563145576e-19,169.18334072164947,270.23073734939766,1.961019376805325e-17,True
SIDT1,-0.6489969717445008,1.59530503675194e-19,178.35513103092785,279.6746887951807,1.9794245776323684e-17,True
CD2,-0.6306289367918968,1.7074276382688736e-19,3813.102587628866,5903.597168674699,2.1075672863460816e-17,True
KCNJ15,1.4560982172082868,1.737229887241432e-19,1578.222732989691,575.2267244578313,2.133300391946012e-17,True
LAX1,-0.7160774998023306,1.9401365875553362e-19,652.5016948453608,1071.870826506024,2.3702499448887577e-17,True
FLJ12949,-0.6187382429322971,1.9574926984649844e-19,284.6719020618557,437.12271361445784,2.3792524773230268e-17,True
CABC1,-0.6258060576947108,1.9778587652904808e-19,605.5206917525772,934.3624638554217,2.391803521092138e-17,True
CYFIP2,-0.48413273717504485,2.035480745710268e-19,6370.110783505155,8910.159144578312,2.4416977550597366e-17,True
MAPK8IP3,-0.4868423446401424,2.0396165607055684e-19,1109.1913958762887,1554.3923168674698,2.4416977550597366e-17,True
MARCKSL1,-0.664664041226955,2.0744530290627677e-19,1239.4304907216494,1964.7440819277106,2.4667226969360857e-17,True
DDX56,-0.4946802463856173,2.081229324955519e-19,770.0697845360824,1085.0348204819277,2.4667226969360857e-17,True
MEN1,-0.5994693944819435,2.1293696571301797e-19,166.1381217525773,251.72570481927713,2.4940264988807792e-17,True
FAM171A1,-0.7212555778030022,2.135673113258947e-19,235.5460856701031,388.3250930120482,2.4940264988807792e-17,True
ODF3B,0.9626767201251293,2.122880731431153e-19,483.22735670103094,247.94590722891564,2.4940264988807792e-17,True
MRPL38,-0.6576475394126233,2.1524439149819838e-19,453.91838865979383,716.0599975903615,2.5013498237373563e-17,True
ZNF438,1.155196589605251,2.2389638782558704e-19,573.3227927835051,257.42479963855425,2.5892639063926987e-17,True
C2orf89,-0.8758294134098932,2.2558941174638113e-19,467.3568367010309,857.6291318072291,2.596239882142047e-17,True
KIAA1545,-0.6744269317517532,2.339951150426762e-19,248.4769711340206,396.55997710843366,2.6800315507988824e-17,True
AK3L1,0.8390387266476405,2.538286904422376e-19,164.96391556701033,92.21745493975904,2.8932827236389604e-17,True
PRAGMIN,-0.7458443337268452,2.5766182741648014e-19,1114.1022773195875,1868.2998481927712,2.9229893878775266e-17,True
GBP2,0.7715571381653532,2.7064171925996394e-19,13680.094123711338,8013.592301204818,3.055686103284417e-17,True
OSBPL7,-0.6701786247390633,2.7551272928012924e-19,565.3733041237114,899.6615638554216,3.0960093158681695e-17,True
GOT2,-0.4553074923979025,3.4926100296021207e-19,931.9933567010311,1277.8327927710845,3.90631214719302e-17,True
DNAJC30,-0.6830600803302717,3.6841271387086916e-19,462.2776298969072,742.2059831325302,4.101259851656877e-17,True
